epoch,accuracy,loss,val_accuracy,val_loss
0,0.9238908886909485,0.21378162503242493,0.8916000127792358,0.2944430112838745
1,0.9242363572120667,0.21112844347953796,0.8962000012397766,0.28327813744544983
2,0.9248727560043335,0.20746469497680664,0.8962000012397766,0.2919059693813324
3,0.9264181852340698,0.2039162814617157,0.8934000134468079,0.29882127046585083
4,0.9276727437973022,0.20041729509830475,0.8889999985694885,0.2984495759010315
5,0.9283272624015808,0.1981501281261444,0.890999972820282,0.2903597950935364
6,0.9303454756736755,0.1947794407606125,0.897599995136261,0.2912546694278717
0,0.9318909049034119,0.19160516560077667,0.8935999870300293,0.2884911000728607
1,0.93223637342453,0.18916761875152588,0.9007999897003174,0.28003746271133423
2,0.9341636300086975,0.18561595678329468,0.8962000012397766,0.2988837957382202
3,0.934181809425354,0.18267619609832764,0.8944000005722046,0.28986868262290955
4,0.9351636171340942,0.1795913279056549,0.892799973487854,0.3026330769062042
5,0.9369999766349792,0.17784474790096283,0.8913999795913696,0.3054804503917694
6,0.9374908804893494,0.1746566742658615,0.8885999917984009,0.3144426643848419
